"id","location_id","employee_id","clockIn","clockOut","comment","created_at","updated_at","transNo"
35620,0,189,"2018-01-01 07:29:39","2018-01-01 16:04:00","","2018-01-01 07:29:39","2018-01-01 16:04:00",NULL
35621,0,145,"2018-01-01 08:11:42","2018-01-01 16:31:53","","2018-01-01 08:11:42","2018-01-01 16:31:53",NULL
35622,0,16,"2018-01-01 08:11:52","2018-01-01 17:36:34","","2018-01-01 08:11:52","2018-01-01 17:36:34",NULL
35623,0,491,"2018-01-01 08:37:32","2018-01-01 17:54:53","","2018-01-01 08:37:32","2018-01-01 17:54:53",NULL
35624,0,147,"2018-01-01 08:38:22","2018-01-01 17:54:48","","2018-01-01 08:38:22","2018-01-01 17:54:48",NULL
35625,0,204,"2018-01-01 08:53:29","2018-01-01 17:01:26","","2018-01-01 08:53:29","2018-01-01 17:01:26",NULL
35626,0,603,"2018-01-01 08:54:15","2018-01-01 17:54:42","","2018-01-01 08:54:15","2018-01-01 17:54:42",NULL
35627,0,565,"2018-01-01 08:58:01","2018-01-01 17:23:49","","2018-01-01 08:58:01","2018-01-01 17:23:50",NULL
35628,0,26,"2018-01-01 09:09:19","2018-01-01 17:36:42","","2018-01-01 09:09:19","2018-01-01 17:36:42",NULL
35629,0,688,"2018-01-01 09:39:39","2018-01-01 17:54:36","","2018-01-01 09:39:39","2018-01-01 17:54:36",NULL
35630,0,19,"2018-01-01 09:45:40","2018-01-01 17:47:08","","2018-01-01 09:45:40","2018-01-01 17:47:08",NULL
35631,0,365,"2018-01-01 09:45:45","2018-01-01 17:46:57","","2018-01-01 09:45:45","2018-01-01 17:46:57",NULL
35632,0,665,"2018-01-01 09:45:51","2018-01-01 17:46:48","","2018-01-01 09:45:52","2018-01-01 17:46:48",NULL
35633,0,23,"2018-01-01 11:23:23","2018-01-01 20:08:37","","2018-01-01 11:23:23","2018-01-01 20:08:38",NULL
35798,0,189,"2018-01-02 07:29:55","2018-01-02 16:00:48","","2018-01-02 07:29:55","2018-01-02 16:00:48",NULL
35802,0,16,"2018-01-02 08:18:04","2018-01-02 17:30:58","","2018-01-02 08:18:04","2018-01-02 17:30:58",NULL
35803,0,18,"2018-01-02 08:18:16","2018-01-02 16:32:29","","2018-01-02 08:18:16","2018-01-02 16:32:29",NULL
35806,0,145,"2018-01-02 08:55:44","2018-01-02 17:02:42","","2018-01-02 08:55:44","2018-01-02 17:02:42",NULL
35807,0,147,"2018-01-02 08:55:50","2018-01-02 18:00:26","","2018-01-02 08:55:50","2018-01-02 18:00:26",NULL
35808,0,491,"2018-01-02 08:55:55","2018-01-02 18:00:21","","2018-01-02 08:55:55","2018-01-02 18:00:21",NULL
35809,0,204,"2018-01-02 09:00:58","2018-01-02 17:02:20","","2018-01-02 09:00:58","2018-01-02 17:02:20",NULL
35810,0,26,"2018-01-02 09:08:56","2018-01-02 17:30:50","","2018-01-02 09:08:56","2018-01-02 17:30:50",NULL
35811,0,15,"2018-01-02 09:26:35","2018-01-02 18:35:39","","2018-01-02 09:26:35","2018-01-02 18:35:39",NULL
35812,0,688,"2018-01-02 09:46:53","2018-01-02 18:00:32","","2018-01-02 09:46:53","2018-01-02 18:00:32",NULL
35813,0,365,"2018-01-02 09:47:29","2018-01-02 18:00:49","","2018-01-02 09:47:29","2018-01-02 18:00:49",NULL
35815,0,146,"2018-01-02 10:55:38","2018-01-02 18:04:47","","2018-01-02 10:55:38","2018-01-02 18:04:47",NULL
35818,0,23,"2018-01-02 13:30:24","2018-01-02 18:35:45","","2018-01-02 13:30:24","2018-01-02 18:35:45",NULL
35829,0,722,"2018-01-02 15:04:53","2018-01-02 15:06:59","","2018-01-02 15:04:53","2018-01-02 15:06:59",NULL
35904,0,189,"2018-01-03 07:33:41","2018-01-03 16:06:24","","2018-01-03 07:33:41","2018-01-03 16:06:24",NULL
35906,0,18,"2018-01-03 08:24:15","2018-01-03 16:32:50","","2018-01-03 08:24:15","2018-01-03 16:32:50",NULL
35908,0,145,"2018-01-03 08:47:37","2018-01-03 17:01:51","","2018-01-03 08:47:37","2018-01-03 17:01:52",NULL
35910,0,603,"2018-01-03 08:50:28","2018-01-03 17:59:14","","2018-01-03 08:50:28","2018-01-03 17:59:14",NULL
35911,0,491,"2018-01-03 08:50:42","2018-01-03 18:00:01","","2018-01-03 08:50:42","2018-01-03 18:00:01",NULL
35912,0,204,"2018-01-03 08:51:24","2018-01-03 17:03:32","","2018-01-03 08:51:24","2018-01-03 17:03:32",NULL
35913,0,722,"2018-01-03 09:04:28","2018-01-03 15:04:46","","2018-01-03 09:04:28","2018-01-03 15:04:46",NULL
35914,0,15,"2018-01-03 09:16:12","2018-01-03 18:01:08","","2018-01-03 09:16:12","2018-01-03 18:01:08",NULL
35916,0,365,"2018-01-03 09:46:54","2018-01-03 17:58:28","","2018-01-03 09:46:54","2018-01-03 17:58:28",NULL
35917,0,19,"2018-01-03 09:47:08","2018-01-03 17:58:42","","2018-01-03 09:47:08","2018-01-03 17:58:42",NULL
35918,0,665,"2018-01-03 09:47:16","2018-01-03 17:58:58","","2018-01-03 09:47:16","2018-01-03 17:58:58",NULL
35919,0,688,"2018-01-03 09:48:58","2018-01-03 18:00:07","","2018-01-03 09:48:58","2018-01-03 18:00:07",NULL
35920,0,565,"2018-01-03 09:58:23","2018-01-03 18:01:47","","2018-01-03 09:58:23","2018-01-03 18:01:47",NULL
35922,0,146,"2018-01-03 10:44:43","2018-01-03 17:58:13","","2018-01-03 10:44:43","2018-01-03 17:58:13",NULL
35923,0,23,"2018-01-03 13:04:56","2018-01-03 18:03:46","","2018-01-03 13:04:56","2018-01-03 18:03:46",NULL
35947,0,145,"2018-01-03 17:03:00","2018-01-03 17:03:14","","2018-01-03 17:03:00","2018-01-03 17:03:14",NULL
35950,0,603,"2018-01-03 18:00:45","2018-01-03 18:00:56","","2018-01-03 18:00:45","2018-01-03 18:00:56",NULL
36004,0,18,"2018-01-04 08:20:54","2018-01-04 16:37:12","","2018-01-04 08:20:54","2018-01-04 16:37:12",NULL
36005,0,16,"2018-01-04 08:21:02","2018-01-04 17:33:25","","2018-01-04 08:21:02","2018-01-04 17:33:25",NULL
36008,0,146,"2018-01-04 08:52:57","2018-01-04 17:08:14","","2018-01-04 08:52:57","2018-01-04 17:08:14",NULL
36009,0,147,"2018-01-04 08:55:44","2018-01-04 18:00:00","","2018-01-04 08:55:44","2018-01-04 18:00:00",NULL
36010,0,722,"2018-01-04 09:03:49","2018-01-04 15:12:46","","2018-01-04 09:03:49","2018-01-04 15:12:46",NULL
36011,0,603,"2018-01-04 09:04:00","2018-01-04 18:00:08","","2018-01-04 09:04:00","2018-01-04 18:00:08",NULL
36012,0,15,"2018-01-04 09:14:39","2018-01-04 18:17:13","","2018-01-04 09:14:39","2018-01-04 18:17:14",NULL
36013,0,26,"2018-01-04 09:17:22","2018-01-04 17:30:58","","2018-01-04 09:17:22","2018-01-04 17:30:58",NULL
36014,0,688,"2018-01-04 09:43:54","2018-01-04 18:00:11","","2018-01-04 09:43:54","2018-01-04 18:00:11",NULL
36015,0,565,"2018-01-04 09:53:34","2018-01-04 18:00:23","","2018-01-04 09:53:34","2018-01-04 18:00:23",NULL
36016,0,365,"2018-01-04 09:55:14","2018-01-04 18:02:17","","2018-01-04 09:55:14","2018-01-04 18:02:17",NULL
36019,0,665,"2018-01-04 10:02:53","2018-01-04 18:02:28","","2018-01-04 10:02:53","2018-01-04 18:02:28",NULL
36022,0,23,"2018-01-04 12:00:20","2018-01-04 18:18:42","","2018-01-04 12:00:20","2018-01-04 18:18:42",NULL
36114,0,189,"2018-01-05 07:27:15","2018-01-05 16:04:29","","2018-01-05 07:27:15","2018-01-05 16:04:29",NULL
36116,0,16,"2018-01-05 08:19:32","2018-01-05 17:30:35","","2018-01-05 08:19:32","2018-01-05 17:30:35",NULL
36117,0,18,"2018-01-05 08:19:40","2018-01-05 16:33:03","","2018-01-05 08:19:40","2018-01-05 16:33:03",NULL
36118,0,491,"2018-01-05 08:41:40","2018-01-05 17:59:12","","2018-01-05 08:41:40","2018-01-05 17:59:12",NULL
36119,0,147,"2018-01-05 08:41:51","2018-01-05 17:58:49","","2018-01-05 08:41:51","2018-01-05 17:58:49",NULL
36120,0,145,"2018-01-05 08:52:26","2018-01-05 17:00:21","","2018-01-05 08:52:26","2018-01-05 17:00:21",NULL
36123,0,204,"2018-01-05 08:55:19","2018-01-05 17:01:40","","2018-01-05 08:55:19","2018-01-05 17:01:40",NULL
36124,0,603,"2018-01-05 08:57:57","2018-01-05 17:59:23","","2018-01-05 08:57:57","2018-01-05 17:59:23",NULL
36125,0,722,"2018-01-05 08:59:40","2018-01-05 15:06:22","","2018-01-05 08:59:40","2018-01-05 15:06:22",NULL
36126,0,26,"2018-01-05 09:19:09","2018-01-05 17:30:18","","2018-01-05 09:19:09","2018-01-05 17:30:18",NULL
36127,0,15,"2018-01-05 09:30:22","2018-01-05 17:44:02","","2018-01-05 09:30:22","2018-01-05 17:44:02",NULL
36128,0,565,"2018-01-05 09:40:39","2018-01-05 17:58:21","","2018-01-05 09:40:39","2018-01-05 17:58:21",NULL
36129,0,688,"2018-01-05 09:41:15","2018-01-05 17:59:03","","2018-01-05 09:41:15","2018-01-05 17:59:03",NULL
36130,0,365,"2018-01-05 09:48:12","2018-01-05 17:58:34","","2018-01-05 09:48:12","2018-01-05 17:58:34",NULL
36131,0,665,"2018-01-05 09:48:22","2018-01-05 17:57:56","","2018-01-05 09:48:22","2018-01-05 17:57:56",NULL
36132,0,19,"2018-01-05 09:48:32","2018-01-05 17:57:33","","2018-01-05 09:48:32","2018-01-05 17:57:33",NULL
36137,0,146,"2018-01-05 10:50:16","2018-01-05 18:00:09","","2018-01-05 10:50:16","2018-01-05 18:00:09",NULL
36139,0,23,"2018-01-05 12:15:50","2018-01-05 18:03:51","","2018-01-05 12:15:51","2018-01-05 18:03:51",NULL
36231,0,189,"2018-01-06 07:24:58","2018-01-06 16:04:47","","2018-01-06 07:24:58","2018-01-06 16:04:47",NULL
36235,0,18,"2018-01-06 08:17:38","2018-01-06 16:31:02","","2018-01-06 08:17:38","2018-01-06 16:31:02",NULL
36236,0,16,"2018-01-06 08:17:47","2018-01-06 17:32:44","","2018-01-06 08:17:47","2018-01-06 17:32:44",NULL
36237,0,147,"2018-01-06 08:40:33","2018-01-06 17:59:01","","2018-01-06 08:40:33","2018-01-06 17:59:01",NULL
36238,0,491,"2018-01-06 08:40:41","2018-01-06 17:58:49","","2018-01-06 08:40:41","2018-01-06 17:58:49",NULL
36239,0,204,"2018-01-06 08:46:42","2018-01-06 17:06:10","","2018-01-06 08:46:42","2018-01-06 17:06:10",NULL
36240,0,145,"2018-01-06 08:50:41","2018-01-06 17:00:25","","2018-01-06 08:50:41","2018-01-06 17:00:25",NULL
36243,0,146,"2018-01-06 08:58:06","2018-01-06 18:01:01","","2018-01-06 08:58:06","2018-01-06 18:01:01",NULL
36244,0,603,"2018-01-06 08:58:20","2018-01-06 17:58:42","","2018-01-06 08:58:20","2018-01-06 17:58:42",NULL
36245,0,26,"2018-01-06 09:23:50","2018-01-06 17:32:51","","2018-01-06 09:23:50","2018-01-06 17:32:51",NULL
36246,0,15,"2018-01-06 09:34:49","2018-01-06 18:06:25","","2018-01-06 09:34:49","2018-01-06 18:06:25",NULL
36247,0,688,"2018-01-06 09:44:46","2018-01-06 17:58:34","","2018-01-06 09:44:46","2018-01-06 17:58:34",NULL
36248,0,365,"2018-01-06 09:49:11","2018-01-06 17:58:06","","2018-01-06 09:49:11","2018-01-06 17:58:06",NULL
36249,0,19,"2018-01-06 09:49:27","2018-01-06 17:57:52","","2018-01-06 09:49:27","2018-01-06 17:57:52",NULL
36250,0,665,"2018-01-06 09:49:41","2018-01-06 17:57:38","","2018-01-06 09:49:41","2018-01-06 17:57:38",NULL
36251,0,565,"2018-01-06 09:52:53","2018-01-07 10:01:07","","2018-01-06 09:52:53","2018-01-07 10:01:07",NULL
36255,0,23,"2018-01-06 12:38:15","2018-01-06 18:10:44","","2018-01-06 12:38:15","2018-01-06 18:10:44",NULL
36354,0,189,"2018-01-07 07:25:35","2018-01-07 16:03:53","","2018-01-07 07:25:35","2018-01-07 16:03:53",NULL
36357,0,18,"2018-01-07 08:22:14","2018-01-07 16:30:55","","2018-01-07 08:22:14","2018-01-07 16:30:55",NULL
36358,0,16,"2018-01-07 08:22:26","2018-01-07 17:35:22","","2018-01-07 08:22:26","2018-01-07 17:35:22",NULL
36359,0,491,"2018-01-07 08:41:57","2018-01-07 17:52:57","","2018-01-07 08:41:57","2018-01-07 17:52:57",NULL
36360,0,147,"2018-01-07 08:42:06","2018-01-07 17:53:09","","2018-01-07 08:42:06","2018-01-07 17:53:09",NULL
36361,0,204,"2018-01-07 08:47:15","2018-01-07 17:01:30","","2018-01-07 08:47:15","2018-01-07 17:01:30",NULL
36362,0,603,"2018-01-07 08:48:31","2018-01-07 17:53:20","","2018-01-07 08:48:31","2018-01-07 17:53:20",NULL
36363,0,145,"2018-01-07 08:49:25","2018-01-07 17:01:43","","2018-01-07 08:49:26","2018-01-07 17:01:43",NULL
36364,0,146,"2018-01-07 08:53:59","2018-01-07 17:54:23","","2018-01-07 08:53:59","2018-01-07 17:54:23",NULL
36367,0,26,"2018-01-07 09:20:26","2018-01-07 17:35:13","","2018-01-07 09:20:26","2018-01-07 17:35:13",NULL
36368,0,15,"2018-01-07 09:35:23","2018-01-07 18:02:32","","2018-01-07 09:35:23","2018-01-07 18:02:32",NULL
36369,0,365,"2018-01-07 09:46:24","2018-01-07 17:52:17","","2018-01-07 09:46:25","2018-01-07 17:52:17",NULL
36370,0,665,"2018-01-07 09:46:31","2018-01-07 17:52:30","","2018-01-07 09:46:31","2018-01-07 17:52:30",NULL
36371,0,19,"2018-01-07 09:46:39","2018-01-07 17:52:39","","2018-01-07 09:46:39","2018-01-07 17:52:39",NULL
36372,0,565,"2018-01-07 10:01:26","2018-01-07 17:57:20","","2018-01-07 10:01:26","2018-01-07 17:57:20",NULL
36460,0,189,"2018-01-08 07:32:17","2018-01-08 16:03:12","","2018-01-08 07:32:17","2018-01-08 16:03:12",NULL
36462,0,145,"2018-01-08 08:18:07","2018-01-08 17:30:18","","2018-01-08 08:18:07","2018-01-08 17:30:18",NULL
36463,0,16,"2018-01-08 08:18:14","2018-01-08 17:30:09","","2018-01-08 08:18:14","2018-01-08 17:30:09",NULL
36465,0,204,"2018-01-08 08:46:11","2018-01-08 17:01:32","","2018-01-08 08:46:11","2018-01-08 17:01:32",NULL
36466,0,565,"2018-01-08 08:58:45","2018-01-08 18:52:13","","2018-01-08 08:58:45","2018-01-08 18:52:13",NULL
36469,0,147,"2018-01-08 09:00:31","2018-01-08 18:01:00","","2018-01-08 09:00:31","2018-01-08 18:01:00",NULL
36470,0,603,"2018-01-08 09:10:33","2018-01-08 18:01:24","","2018-01-08 09:10:33","2018-01-08 18:01:24",NULL
36471,0,688,"2018-01-08 09:10:45","2018-01-08 18:01:09","","2018-01-08 09:10:45","2018-01-08 18:01:09",NULL
36472,0,26,"2018-01-08 09:17:38","2018-01-08 17:30:01","","2018-01-08 09:17:38","2018-01-08 17:30:01",NULL
36474,0,665,"2018-01-08 09:52:12","2018-01-08 17:44:21","","2018-01-08 09:52:12","2018-01-08 17:44:21",NULL
36475,0,19,"2018-01-08 09:52:20","2018-01-08 17:44:11","","2018-01-08 09:52:20","2018-01-08 17:44:12",NULL
36477,0,23,"2018-01-08 11:30:22","2018-01-08 21:47:12","","2018-01-08 11:30:22","2018-01-08 21:47:12",NULL
36495,0,189,"2018-01-09 07:29:54","2018-01-09 16:01:07","","2018-01-09 07:29:54","2018-01-09 16:01:07",NULL
36496,0,18,"2018-01-09 08:23:48","2018-01-09 17:32:30","","2018-01-09 08:23:48","2018-01-09 17:32:30",NULL
36497,0,16,"2018-01-09 08:24:00","2018-01-09 17:32:05","","2018-01-09 08:24:00","2018-01-09 17:32:05",NULL
36498,0,204,"2018-01-09 08:35:57","2018-01-09 17:03:25","","2018-01-09 08:35:57","2018-01-09 17:03:25",NULL
36499,0,688,"2018-01-09 08:50:42","2018-01-09 18:00:31","","2018-01-09 08:50:42","2018-01-09 18:00:31",NULL
36500,0,147,"2018-01-09 08:51:50","2018-01-09 18:00:39","","2018-01-09 08:51:50","2018-01-09 18:00:39",NULL
36501,0,145,"2018-01-09 08:52:47","2018-01-09 18:00:06","","2018-01-09 08:52:47","2018-01-09 18:00:06",NULL
36502,0,26,"2018-01-09 09:16:32","2018-01-09 17:32:19","","2018-01-09 09:16:32","2018-01-09 17:32:19",NULL
36503,0,15,"2018-01-09 09:25:50","2018-01-09 18:06:03","","2018-01-09 09:25:50","2018-01-09 18:06:03",NULL
36504,0,365,"2018-01-09 09:48:54","2018-01-09 18:00:19","","2018-01-09 09:48:54","2018-01-09 18:00:19",NULL
36506,0,146,"2018-01-09 10:48:57","2018-01-09 18:00:53","","2018-01-09 10:48:57","2018-01-09 18:00:53",NULL
36507,0,23,"2018-01-09 12:42:36","2018-01-09 19:13:07","","2018-01-09 12:42:36","2018-01-09 19:13:07",NULL
36508,0,189,"2018-01-10 07:26:00","2018-01-10 16:00:44","","2018-01-10 07:26:00","2018-01-10 16:00:44",NULL
36509,0,18,"2018-01-10 08:27:03","2018-01-10 17:30:06","","2018-01-10 08:27:03","2018-01-10 17:30:06",NULL
36510,0,204,"2018-01-10 08:42:53","2018-01-10 17:05:19","","2018-01-10 08:42:53","2018-01-10 17:05:19",NULL
36511,0,688,"2018-01-10 08:49:31","2018-01-10 18:03:11","","2018-01-10 08:49:31","2018-01-10 18:03:11",NULL
36512,0,145,"2018-01-10 08:52:01","2018-01-10 18:02:37","","2018-01-10 08:52:01","2018-01-10 18:02:37",NULL
36513,0,603,"2018-01-10 08:55:58","2018-01-10 18:02:56","","2018-01-10 08:55:58","2018-01-10 18:02:56",NULL
36514,0,15,"2018-01-10 09:21:16","2018-01-10 18:22:14","","2018-01-10 09:21:16","2018-01-10 18:22:14",NULL
36515,0,665,"2018-01-10 09:48:12","2018-01-10 18:04:19","","2018-01-10 09:48:12","2018-01-10 18:04:19",NULL
36516,0,19,"2018-01-10 09:48:19","2018-01-10 18:03:50","","2018-01-10 09:48:19","2018-01-10 18:03:50",NULL
36517,0,365,"2018-01-10 09:48:29","2018-01-10 18:04:07","","2018-01-10 09:48:29","2018-01-10 18:04:07",NULL
36519,0,565,"2018-01-10 10:07:49","2018-01-10 18:10:20","","2018-01-10 10:07:49","2018-01-10 18:10:20",NULL
36520,0,146,"2018-01-10 10:55:22","2018-01-10 18:00:05","","2018-01-10 10:55:22","2018-01-10 18:00:05",NULL
36715,0,23,"2018-01-10 18:22:36","2018-01-10 18:22:41","","2018-01-10 18:22:36","2018-01-10 18:22:41",NULL
36727,0,146,"2018-01-11 07:19:47","2018-01-11 17:04:56","","2018-01-11 07:19:47","2018-01-11 17:04:56",NULL
36728,0,18,"2018-01-11 08:22:05","2018-01-11 17:30:58","","2018-01-11 08:22:05","2018-01-11 17:30:58",NULL
36729,0,16,"2018-01-11 08:22:12","2018-01-11 17:31:07","","2018-01-11 08:22:12","2018-01-11 17:31:07",NULL
36730,0,147,"2018-01-11 08:46:46","2018-01-11 18:00:37","","2018-01-11 08:46:46","2018-01-11 18:00:37",NULL
36731,0,688,"2018-01-11 08:46:54","2018-01-11 18:00:29","","2018-01-11 08:46:54","2018-01-11 18:00:29",NULL
36732,0,145,"2018-01-11 08:49:21","2018-01-11 17:59:57","","2018-01-11 08:49:21","2018-01-11 17:59:57",NULL
36733,0,603,"2018-01-11 08:55:19","2018-01-11 18:00:20","","2018-01-11 08:55:19","2018-01-11 18:00:20",NULL
36734,0,565,"2018-01-11 09:05:38","2018-01-11 18:00:11","","2018-01-11 09:05:38","2018-01-11 18:00:11",NULL
36735,0,722,"2018-01-11 09:08:04","2018-01-11 15:13:22","","2018-01-11 09:08:04","2018-01-11 15:13:22",NULL
36736,0,26,"2018-01-11 09:14:18","2018-01-11 17:30:47","","2018-01-11 09:14:18","2018-01-11 17:30:47",NULL
36737,0,665,"2018-01-11 09:43:08","2018-01-11 17:59:35","","2018-01-11 09:43:08","2018-01-11 17:59:35",NULL
36738,0,19,"2018-01-11 09:43:15","2018-01-11 17:59:23","","2018-01-11 09:43:15","2018-01-11 17:59:23",NULL
36739,0,365,"2018-01-11 09:43:22","2018-01-11 17:59:47","","2018-01-11 09:43:22","2018-01-11 17:59:47",NULL
36740,0,15,"2018-01-11 09:46:32","2018-01-11 18:07:30","","2018-01-11 09:46:32","2018-01-11 18:07:30",NULL
36811,0,23,"2018-01-11 18:02:44","2018-01-11 18:02:48","","2018-01-11 18:02:44","2018-01-11 18:02:48",NULL
36812,0,189,"2018-01-12 07:27:47","2018-01-12 16:00:26","","2018-01-12 07:27:47","2018-01-12 16:00:26",NULL
36813,0,18,"2018-01-12 08:19:04","2018-01-12 17:31:12","","2018-01-12 08:19:04","2018-01-12 17:31:12",NULL
36814,0,16,"2018-01-12 08:19:15","2018-01-12 17:30:57","","2018-01-12 08:19:15","2018-01-12 17:30:57",NULL
36815,0,147,"2018-01-12 08:53:22","2018-01-12 17:57:05","","2018-01-12 08:53:22","2018-01-12 17:57:05",NULL
36816,0,145,"2018-01-12 08:55:52","2018-01-12 17:57:15","","2018-01-12 08:55:52","2018-01-12 17:57:15",NULL
36817,0,603,"2018-01-12 08:56:26","2018-01-12 17:55:47","","2018-01-12 08:56:26","2018-01-12 17:55:47",NULL
36818,0,688,"2018-01-12 08:56:51","2018-01-12 17:56:02","","2018-01-12 08:56:51","2018-01-12 17:56:02",NULL
36819,0,722,"2018-01-12 08:57:00","2018-01-12 15:07:09","","2018-01-12 08:57:00","2018-01-12 15:07:09",NULL
36820,0,26,"2018-01-12 09:13:59","2018-01-12 17:31:22","","2018-01-12 09:13:59","2018-01-12 17:31:22",NULL
36821,0,15,"2018-01-12 09:16:07","2018-01-12 18:08:21","","2018-01-12 09:16:07","2018-01-12 18:08:21",NULL
36822,0,365,"2018-01-12 09:40:21","2018-01-12 17:56:38","","2018-01-12 09:40:21","2018-01-12 17:56:38",NULL
36823,0,665,"2018-01-12 09:40:37","2018-01-12 17:56:15","","2018-01-12 09:40:37","2018-01-12 17:56:15",NULL
36824,0,19,"2018-01-12 09:40:49","2018-01-12 17:56:50","","2018-01-12 09:40:49","2018-01-12 17:56:50",NULL
36826,0,565,"2018-01-12 10:16:23","2018-01-12 18:08:41","","2018-01-12 10:16:23","2018-01-12 18:08:41",NULL
36827,0,23,"2018-01-12 18:08:49","2018-01-12 18:08:52","","2018-01-12 18:08:49","2018-01-12 18:08:53",NULL
36828,0,189,"2018-01-13 07:22:49","2018-01-13 16:00:20","","2018-01-13 07:22:49","2018-01-13 16:00:20",NULL
36829,0,18,"2018-01-13 08:18:21","2018-01-13 17:30:48","","2018-01-13 08:18:21","2018-01-13 17:30:48",NULL
36830,0,16,"2018-01-13 08:18:45","2018-01-13 17:30:37","","2018-01-13 08:18:45","2018-01-13 17:30:37",NULL
36831,0,688,"2018-01-13 08:44:31","2018-01-13 18:00:46","","2018-01-13 08:44:31","2018-01-13 18:00:46",NULL
36832,0,145,"2018-01-13 08:48:10","2018-01-13 18:01:12","","2018-01-13 08:48:10","2018-01-13 18:01:12",NULL
36833,0,146,"2018-01-13 08:52:39","2018-01-13 18:00:06","","2018-01-13 08:52:39","2018-01-13 18:00:06",NULL
36834,0,147,"2018-01-13 08:52:55","2018-01-13 18:01:32","","2018-01-13 08:52:55","2018-01-13 18:01:32",NULL
36835,0,603,"2018-01-13 08:53:15","2018-01-13 18:01:04","","2018-01-13 08:53:15","2018-01-13 18:01:04",NULL
36836,0,26,"2018-01-13 09:17:51","2018-01-13 17:30:20","","2018-01-13 09:17:51","2018-01-13 17:30:20",NULL
36837,0,365,"2018-01-13 09:48:39","2018-01-13 18:00:22","","2018-01-13 09:48:39","2018-01-13 18:00:22",NULL
36838,0,19,"2018-01-13 09:48:51","2018-01-13 18:00:32","","2018-01-13 09:48:51","2018-01-13 18:00:32",NULL
36839,0,15,"2018-01-13 09:54:42","2018-01-13 18:10:40","","2018-01-13 09:54:42","2018-01-13 18:10:40",NULL
36840,0,565,"2018-01-13 10:00:26","2018-01-14 10:07:02","","2018-01-13 10:00:26","2018-01-14 10:07:02",NULL
36847,0,189,"2018-01-14 07:21:25","2018-01-14 16:03:27","","2018-01-14 07:21:25","2018-01-14 16:03:27",NULL
36848,0,18,"2018-01-14 08:22:19","2018-01-14 17:30:56","","2018-01-14 08:22:19","2018-01-14 17:30:56",NULL
36849,0,16,"2018-01-14 08:22:45","2018-01-14 17:30:15","","2018-01-14 08:22:45","2018-01-14 17:30:15",NULL
36850,0,145,"2018-01-14 08:50:26","2018-01-14 17:55:45","","2018-01-14 08:50:26","2018-01-14 17:55:45",NULL
36851,0,147,"2018-01-14 08:51:39","2018-01-14 17:55:55","","2018-01-14 08:51:39","2018-01-14 17:55:55",NULL
36852,0,603,"2018-01-14 08:56:21","2018-01-14 17:56:02","","2018-01-14 08:56:21","2018-01-14 17:56:02",NULL
36853,0,146,"2018-01-14 08:56:47","2018-01-14 18:00:24","","2018-01-14 08:56:47","2018-01-14 18:00:25",NULL
36854,0,688,"2018-01-14 08:58:36","2018-01-14 17:56:07","","2018-01-14 08:58:36","2018-01-14 17:56:07",NULL
36855,0,15,"2018-01-14 09:10:32","2018-01-14 18:18:20","","2018-01-14 09:10:32","2018-01-14 18:18:20",NULL
36856,0,26,"2018-01-14 09:12:31","2018-01-14 17:30:38","","2018-01-14 09:12:31","2018-01-14 17:30:38",NULL
36857,0,365,"2018-01-14 09:45:03","2018-01-14 17:56:26","","2018-01-14 09:45:04","2018-01-14 17:56:26",NULL
36858,0,665,"2018-01-14 09:45:15","2018-01-14 17:56:48","","2018-01-14 09:45:15","2018-01-14 17:56:48",NULL
36859,0,19,"2018-01-14 09:45:25","2018-01-14 17:56:38","","2018-01-14 09:45:25","2018-01-14 17:56:38",NULL
36860,0,565,"2018-01-14 10:07:09","2018-01-15 09:03:50","","2018-01-14 10:07:10","2018-01-15 09:03:50",NULL
36861,0,189,"2018-01-15 07:28:33",NULL,"","2018-01-15 07:28:33","2018-01-15 07:28:33",NULL
36862,0,18,"2018-01-15 08:28:31",NULL,"","2018-01-15 08:28:31","2018-01-15 08:28:31",NULL
36863,0,16,"2018-01-15 08:28:45",NULL,"","2018-01-15 08:28:45","2018-01-15 08:28:45",NULL
36864,0,688,"2018-01-15 08:48:51",NULL,"","2018-01-15 08:48:51","2018-01-15 08:48:51",NULL
36865,0,147,"2018-01-15 08:49:06",NULL,"","2018-01-15 08:49:06","2018-01-15 08:49:06",NULL
36866,0,603,"2018-01-15 08:49:16",NULL,"","2018-01-15 08:49:16","2018-01-15 08:49:16",NULL
36867,0,145,"2018-01-15 08:54:00",NULL,"","2018-01-15 08:54:00","2018-01-15 08:54:00",NULL
36868,0,565,"2018-01-15 09:03:56",NULL,"","2018-01-15 09:03:56","2018-01-15 09:03:56",NULL
36869,0,722,"2018-01-15 09:09:25",NULL,"","2018-01-15 09:09:25","2018-01-15 09:09:25",NULL
36870,0,26,"2018-01-15 09:26:46",NULL,"","2018-01-15 09:26:46","2018-01-15 09:26:46",NULL
36871,0,19,"2018-01-15 09:43:30",NULL,"","2018-01-15 09:43:30","2018-01-15 09:43:30",NULL
